V35,I35,I354,P354,V40,I40,I404,P404
3.5,1.12994,0,4,4,0.987654,0,4
3.51,1.22994,0.1,4.351,4.01,1.087654,0.1,4.401
3.52,1.32994,0.2,4.704,4.02,1.187654,0.2,4.804
3.53,1.42994,0.3,5.059,4.03,1.287654,0.3,5.209
3.54,1.52994,0.4,5.416,4.04,1.387654,0.4,5.616
3.55,1.62994,0.5,5.775,4.05,1.487654,0.5,6.025
3.56,1.72994,0.6,6.136,4.06,1.587654,0.6,6.436
3.57,1.82994,0.7,6.499,4.07,1.687654,0.7,6.849
3.58,1.92994,0.8,6.864,4.08,1.787654,0.8,7.264
3.59,2.02994,0.9,7.231,4.09,1.887654,0.9,7.681
3.6,2.12994,1,7.6,4.1,1.987654,1,8.1
3.61,2.22994,1.1,7.971,4.11,2.087654,1.1,8.521
3.62,2.32994,1.2,8.344,4.12,2.187654,1.2,8.944
3.63,2.42994,1.3,8.719,4.13,2.287654,1.3,9.369
3.64,2.52994,1.4,9.096,4.14,2.387654,1.4,9.796
3.65,2.62994,1.5,9.475,4.15,2.487654,1.5,10.225
3.66,2.72994,1.6,9.856,4.16,2.587654,1.6,10.656
3.67,2.82994,1.7,10.239,4.17,2.687654,1.7,11.089
3.68,2.92994,1.8,10.624,4.18,2.787654,1.8,11.524
3.69,3.02994,1.9,11.011,4.19,2.887654,1.9,11.961
3.7,3.12994,2,11.4,4.2,2.987654,2,12.4
3.71,3.22994,2.1,11.791,4.21,3.087654,2.1,12.841
3.72,3.32994,2.2,12.184,4.22,3.187654,2.2,13.284
3.73,3.42994,2.3,12.579,4.23,3.287654,2.3,13.729
3.74,3.52994,2.4,12.976,4.24,3.387654,2.4,14.176
3.75,3.62994,2.5,13.375,4.25,3.487654,2.5,14.625
3.76,3.72994,2.6,13.776,4.26,3.587654,2.6,15.076
3.77,3.82994,2.7,14.179,4.27,3.687654,2.7,15.529
3.78,3.92994,2.8,14.584,4.28,3.787654,2.8,15.984
3.79,4.02994,2.9,14.991,4.29,3.887654,2.9,16.441
3.8,4.12994,3,15.4,4.3,3.987654,3,16.9
3.81,4.22994,3.1,15.811,4.31,4.087654,3.1,17.361
3.82,4.32994,3.2,16.224,4.32,4.187654,3.2,17.824
3.83,4.42994,3.3,16.639,4.33,4.287654,3.3,18.289
3.84,4.52994,3.4,17.056,4.34,4.387654,3.4,18.756
3.85,4.62994,3.5,17.475,4.35,4.487654,3.5,19.225
3.86,4.72994,3.6,17.896,4.36,4.587654,3.6,19.696
3.87,4.82994,3.7,18.319,4.37,4.687654,3.7,20.169
3.88,4.92994,3.8,18.744,4.38,4.787654,3.8,20.644
3.89,5.02994,3.9,19.171,4.39,4.887654,3.9,21.121
3.9,5.12994,4,19.6,4.4,4.987654,4,21.6
3.91,5.22994,4.1,20.031,4.41,5.087654,4.1,22.081
3.92,5.32994,4.2,20.464,4.42,5.187654,4.2,22.564
3.93,5.42994,4.3,20.899,4.43,5.287654,4.3,23.049
3.94,5.52994,4.4,21.336,4.44,5.387654,4.4,23.536
3.95,5.62994,4.5,21.775,4.45,5.487654,4.5,24.025
3.96,5.72994,4.6,22.216,4.46,5.587654,4.6,24.516
3.97,5.82994,4.7,22.659,4.47,5.687654,4.7,25.009
3.98,5.92994,4.8,23.104,4.48,5.787654,4.8,25.504
3.99,6.02994,4.9,23.551,4.49,5.887654,4.9,26.001
4,6.12994,5,24,4.5,5.987654,5,26.5
4.01,6.22994,5.1,24.451,4.51,6.087654,5.1,27.001
4.02,6.32994,5.2,24.904,4.52,6.187654,5.2,27.504
4.03,6.42994,5.3,25.359,4.53,6.287654,5.3,28.009
4.04,6.52994,5.4,25.816,4.54,6.387654,5.4,28.516
4.05,6.62994,5.5,26.275,4.55,6.487654,5.5,29.025
4.06,6.72994,5.6,26.736,4.56,6.587654,5.6,29.536
4.07,6.82994,5.7,27.199,4.57,6.687654,5.7,30.049
4.08,6.92994,5.8,27.664,4.58,6.787654,5.8,30.564
4.09,7.02994,5.9,28.131,4.59,6.887654,5.9,31.081
