V,I10,P10,I8,P8,I6,P6,I4,P4,I2,P2,I1,P1
0,100,10,80,8,60,6,40,4,20,2,10,1
0.1,100,10,80,8,60,6,40,4,20,2,10,1
0.2,50,10,40,8,30,6,20,4,10,2,5,1
0.3,33.33333333,10,26.66666667,8,20,6,13.33333333,4,6.666666667,2,3.333333333,1
0.4,25,10,20,8,15,6,10,4,5,2,2.5,1
0.5,20,10,16,8,12,6,8,4,4,2,2,1
0.6,16.66666667,10,13.33333333,8,10,6,6.666666667,4,3.333333333,2,1.666666667,1
0.7,14.28571429,10,11.42857143,8,8.571428571,6,5.714285714,4,2.857142857,2,1.428571429,1
0.8,12.5,10,10,8,7.5,6,5,4,2.5,2,1.25,1
0.9,11.11111111,10,8.888888889,8,6.666666667,6,4.444444444,4,2.222222222,2,1.111111111,1
1,10,10,8,8,6,6,4,4,2,2,1,1
1.1,9.090909091,10,7.272727273,8,5.454545455,6,3.636363636,4,1.818181818,2,0.909090909,1
1.2,8.333333333,10,6.666666667,8,5,6,3.333333333,4,1.666666667,2,0.833333333,1
1.3,7.692307692,10,6.153846154,8,4.615384615,6,3.076923077,4,1.538461538,2,0.769230769,1
1.4,7.142857143,10,5.714285714,8,4.285714286,6,2.857142857,4,1.428571429,2,0.714285714,1
1.5,6.666666667,10,5.333333333,8,4,6,2.666666667,4,1.333333333,2,0.666666667,1
1.6,6.25,10,5,8,3.75,6,2.5,4,1.25,2,0.625,1
1.7,5.882352941,10,4.705882353,8,3.529411765,6,2.352941176,4,1.176470588,2,0.588235294,1
1.8,5.555555556,10,4.444444444,8,3.333333333,6,2.222222222,4,1.111111111,2,0.555555556,1
1.9,5.263157895,10,4.210526316,8,3.157894737,6,2.105263158,4,1.052631579,2,0.526315789,1
2,5,10,4,8,3,6,2,4,1,2,0.5,1
2.1,4.761904762,10,3.80952381,8,2.857142857,6,1.904761905,4,0.952380952,2,0.476190476,1
2.2,4.545454545,10,3.636363636,8,2.727272727,6,1.818181818,4,0.909090909,2,0.454545455,1
2.3,4.347826087,10,3.47826087,8,2.608695652,6,1.739130435,4,0.869565217,2,0.434782609,1
2.4,4.166666667,10,3.333333333,8,2.5,6,1.666666667,4,0.833333333,2,0.416666667,1
2.5,4,10,3.2,8,2.4,6,1.6,4,0.8,2,0.4,1
2.6,3.846153846,10,3.076923077,8,2.307692308,6,1.538461538,4,0.769230769,2,0.384615385,1
2.7,3.703703704,10,2.962962963,8,2.222222222,6,1.481481481,4,0.740740741,2,0.37037037,1
2.8,3.571428571,10,2.857142857,8,2.142857143,6,1.428571429,4,0.714285714,2,0.357142857,1
2.9,3.448275862,10,2.75862069,8,2.068965517,6,1.379310345,4,0.689655172,2,0.344827586,1
3,3.333333333,10,2.666666667,8,2,6,1.333333333,4,0.666666667,2,0.333333333,1
3.1,3.225806452,10,2.580645161,8,1.935483871,6,1.290322581,4,0.64516129,2,0.322580645,1
3.2,3.125,10,2.5,8,1.875,6,1.25,4,0.625,2,0.3125,1
3.3,3.03030303,10,2.424242424,8,1.818181818,6,1.212121212,4,0.606060606,2,0.303030303,1
3.4,2.941176471,10,2.352941176,8,1.764705882,6,1.176470588,4,0.588235294,2,0.294117647,1
3.5,2.857142857,10,2.285714286,8,1.714285714,6,1.142857143,4,0.571428571,2,0.285714286,1
3.6,2.777777778,10,2.222222222,8,1.666666667,6,1.111111111,4,0.555555556,2,0.277777778,1
3.7,2.702702703,10,2.162162162,8,1.621621622,6,1.081081081,4,0.540540541,2,0.27027027,1
3.8,2.631578947,10,2.105263158,8,1.578947368,6,1.052631579,4,0.526315789,2,0.263157895,1
3.9,2.564102564,10,2.051282051,8,1.538461538,6,1.025641026,4,0.512820513,2,0.256410256,1
4,2.5,10,2,8,1.5,6,1,4,0.5,2,0.25,1
4.1,2.43902439,10,1.951219512,8,1.463414634,6,0.975609756,4,0.487804878,2,0.243902439,1
4.2,2.380952381,10,1.904761905,8,1.428571429,6,0.952380952,4,0.476190476,2,0.238095238,1
4.3,2.325581395,10,1.860465116,8,1.395348837,6,0.930232558,4,0.465116279,2,0.23255814,1
4.4,2.272727273,10,1.818181818,8,1.363636364,6,0.909090909,4,0.454545455,2,0.227272727,1
4.5,2.222222222,10,1.777777778,8,1.333333333,6,0.888888889,4,0.444444444,2,0.222222222,1
4.6,2.173913043,10,1.739130435,8,1.304347826,6,0.869565217,4,0.434782609,2,0.217391304,1
4.7,2.127659574,10,1.70212766,8,1.276595745,6,0.85106383,4,0.425531915,2,0.212765957,1
4.8,2.083333333,10,1.666666667,8,1.25,6,0.833333333,4,0.416666667,2,0.208333333,1
4.9,2.040816327,10,1.632653061,8,1.224489796,6,0.816326531,4,0.408163265,2,0.204081633,1
5,2,10,1.6,8,1.2,6,0.8,4,0.4,2,0.2,1
5.1,1.960784314,10,1.568627451,8,1.176470588,6,0.784313725,4,0.392156863,2,0.196078431,1
5.2,1.923076923,10,1.538461538,8,1.153846154,6,0.769230769,4,0.384615385,2,0.192307692,1
5.3,1.886792453,10,1.509433962,8,1.132075472,6,0.754716981,4,0.377358491,2,0.188679245,1
5.4,1.851851852,10,1.481481481,8,1.111111111,6,0.740740741,4,0.37037037,2,0.185185185,1
5.5,1.818181818,10,1.454545455,8,1.090909091,6,0.727272727,4,0.363636364,2,0.181818182,1
5.6,1.785714286,10,1.428571429,8,1.071428571,6,0.714285714,4,0.357142857,2,0.178571429,1
5.7,1.754385965,10,1.403508772,8,1.052631579,6,0.701754386,4,0.350877193,2,0.175438596,1
5.8,1.724137931,10,1.379310345,8,1.034482759,6,0.689655172,4,0.344827586,2,0.172413793,1
5.9,1.694915254,10,1.355932203,8,1.016949153,6,0.677966102,4,0.338983051,2,0.169491525,1
6,1.666666667,10,1.333333333,8,1,6,0.666666667,4,0.333333333,2,0.166666667,1
